area,station,component,dateTime,value
Drammen,Backeparken,PM2.5,2020-02-01T00:00:00+01:00,13.5541666667
Drammen,Backeparken,PM2.5,2020-02-02T00:00:00+01:00,1.55
Drammen,Backeparken,PM2.5,2020-02-03T00:00:00+01:00,5.8666666667
Drammen,Backeparken,PM2.5,2020-02-04T00:00:00+01:00,7.0708333333
Drammen,Backeparken,PM2.5,2020-02-05T00:00:00+01:00,17.6708333333
Drammen,Backeparken,PM2.5,2020-02-06T00:00:00+01:00,10.0166666667
Drammen,Backeparken,PM2.5,2020-02-07T00:00:00+01:00,10.2
Drammen,Backeparken,PM2.5,2020-02-08T00:00:00+01:00,11.3375
Drammen,Backeparken,PM2.5,2020-02-09T00:00:00+01:00,4.4541666667
Drammen,Backeparken,PM2.5,2020-02-10T00:00:00+01:00,2.5916666667
Drammen,Backeparken,PM2.5,2020-02-11T00:00:00+01:00,6.0666666667
Drammen,Backeparken,PM2.5,2020-02-12T00:00:00+01:00,3.8952380952
Drammen,Backeparken,PM2.5,2020-02-13T00:00:00+01:00,13.925
Drammen,Backeparken,PM2.5,2020-02-14T00:00:00+01:00,7.9458333333
Drammen,Backeparken,PM2.5,2020-02-15T00:00:00+01:00,4.7125
Drammen,Backeparken,PM2.5,2020-02-16T00:00:00+01:00,3.0541666667
Drammen,Backeparken,PM2.5,2020-02-17T00:00:00+01:00,2.8791666667
Drammen,Backeparken,PM2.5,2020-02-18T00:00:00+01:00,5.6458333333
Drammen,Backeparken,PM2.5,2020-02-19T00:00:00+01:00,11.5333333333
Drammen,Backeparken,PM2.5,2020-02-20T00:00:00+01:00,5.3041666667
Drammen,Backeparken,PM2.5,2020-02-21T00:00:00+01:00,3.0833333333
Drammen,Backeparken,PM2.5,2020-02-22T00:00:00+01:00,0.9
Drammen,Backeparken,PM2.5,2020-02-23T00:00:00+01:00,2.0708333333
Drammen,Backeparken,PM2.5,2020-02-24T00:00:00+01:00,10.5
Drammen,Backeparken,PM2.5,2020-02-25T00:00:00+01:00,4.1833333333
Drammen,Backeparken,PM2.5,2020-02-26T00:00:00+01:00,7.45
Drammen,Backeparken,PM2.5,2020-02-27T00:00:00+01:00,13.7958333333
Drammen,Backeparken,PM2.5,2020-02-28T00:00:00+01:00,15.8333333333
Drammen,Backeparken,PM2.5,2020-02-29T00:00:00+01:00,8.0166666667
Drammen,Backeparken,PM2.5,2020-03-01T00:00:00+01:00,4.3625
Drammen,Backeparken,PM2.5,2020-03-02T00:00:00+01:00,7.8708333333
Drammen,Backeparken,PM2.5,2020-03-03T00:00:00+01:00,5.525
Drammen,Backeparken,PM2.5,2020-03-04T00:00:00+01:00,5.2583333333
Drammen,Backeparken,PM2.5,2020-03-05T00:00:00+01:00,6.2208333333
Drammen,Backeparken,PM2.5,2020-03-06T00:00:00+01:00,7.7875
Drammen,Backeparken,PM2.5,2020-03-07T00:00:00+01:00,8.6083333333
Drammen,Backeparken,PM2.5,2020-03-08T00:00:00+01:00,3.4625
Drammen,Backeparken,PM2.5,2020-03-09T00:00:00+01:00,4.6739130435
Drammen,Backeparken,PM2.5,2020-03-10T00:00:00+01:00,4.5375
Drammen,Backeparken,PM2.5,2020-03-11T00:00:00+01:00,4.3958333333
Drammen,Backeparken,PM2.5,2020-03-12T00:00:00+01:00,4.5375
Drammen,Backeparken,PM2.5,2020-03-13T00:00:00+01:00,3.3125
Drammen,Backeparken,PM2.5,2020-03-14T00:00:00+01:00,2.7291666667
Drammen,Backeparken,PM2.5,2020-03-15T00:00:00+01:00,4.75
Drammen,Backeparken,PM2.5,2020-03-16T00:00:00+01:00,3.4708333333
Drammen,Backeparken,PM2.5,2020-03-17T00:00:00+01:00,3.2416666667
Drammen,Backeparken,PM2.5,2020-03-18T00:00:00+01:00,3.4291666667
Drammen,Backeparken,PM2.5,2020-03-19T00:00:00+01:00,4.7380952381
Drammen,Backeparken,PM2.5,2020-03-20T00:00:00+01:00,5.6583333333
Drammen,Backeparken,PM2.5,2020-03-21T00:00:00+01:00,6.6666666667
Drammen,Backeparken,PM2.5,2020-03-22T00:00:00+01:00,6.6125
Drammen,Backeparken,PM2.5,2020-03-23T00:00:00+01:00,6.3130434783
Drammen,Backeparken,PM2.5,2020-03-24T00:00:00+01:00,13.8666666667
Drammen,Backeparken,PM2.5,2020-03-25T00:00:00+01:00,21.0375
Drammen,Backeparken,PM2.5,2020-03-26T00:00:00+01:00,27.0333333333
Drammen,Backeparken,PM2.5,2020-03-27T00:00:00+01:00,36.8708333333
Drammen,Backeparken,PM2.5,2020-03-28T00:00:00+01:00,3.2458333333
Drammen,Backeparken,PM2.5,2020-03-29T00:00:00+01:00,2.2416666667
Drammen,Backeparken,PM2.5,2020-03-30T00:00:00+01:00,5.9291666667
Drammen,Backeparken,PM2.5,2020-03-31T00:00:00+01:00,5.1458333333
Drammen,Backeparken,PM2.5,2020-04-01T00:00:00+01:00,1.8833333333
Drammen,Backeparken,PM2.5,2020-04-02T00:00:00+01:00,3.5958333333
Drammen,Backeparken,PM2.5,2020-04-03T00:00:00+01:00,2.6916666667
Drammen,Backeparken,PM2.5,2020-04-04T00:00:00+01:00,2.6125
Drammen,Backeparken,PM2.5,2020-04-05T00:00:00+01:00,10.6666666667
Drammen,Backeparken,PM2.5,2020-04-06T00:00:00+01:00,19.647826087
Drammen,Backeparken,PM2.5,2020-04-07T00:00:00+01:00,11.1916666667
Drammen,Backeparken,PM2.5,2020-04-08T00:00:00+01:00,7.1416666667
Drammen,Backeparken,PM2.5,2020-04-09T00:00:00+01:00,1.9333333333
Drammen,Backeparken,PM2.5,2020-04-10T00:00:00+01:00,3.5125
Drammen,Backeparken,PM2.5,2020-04-11T00:00:00+01:00,4.2041666667
Drammen,Backeparken,PM2.5,2020-04-12T00:00:00+01:00,2.3875
Drammen,Backeparken,PM2.5,2020-04-13T00:00:00+01:00,1.1208333333
Drammen,Backeparken,PM2.5,2020-04-14T00:00:00+01:00,3.0708333333
Drammen,Backeparken,PM2.5,2020-04-15T00:00:00+01:00,1.5291666667
Drammen,Backeparken,PM2.5,2020-04-16T00:00:00+01:00,2.2541666667
Drammen,Backeparken,PM2.5,2020-04-17T00:00:00+01:00,2.7083333333
Drammen,Backeparken,PM2.5,2020-04-18T00:00:00+01:00,3.2166666667
Drammen,Backeparken,PM2.5,2020-04-19T00:00:00+01:00,3.1708333333
Drammen,Backeparken,PM2.5,2020-04-20T00:00:00+01:00,4.9363636364
Drammen,Backeparken,PM2.5,2020-04-21T00:00:00+01:00,5.2916666667
Drammen,Backeparken,PM2.5,2020-04-22T00:00:00+01:00,5.075
Drammen,Backeparken,PM2.5,2020-04-23T00:00:00+01:00,3.9041666667
Drammen,Backeparken,PM2.5,2020-04-24T00:00:00+01:00,2.0333333333
