area;station;dateTime;avgTemp
Moss;SN17150;01.09.2024;14,1
Moss;SN17150;02.09.2024;12
Moss;SN17150;03.09.2024;16
Moss;SN17150;04.09.2024;17,8
Moss;SN17150;05.09.2024;20,3
Moss;SN17150;06.09.2024;19,2
Moss;SN17150;07.09.2024;18,8
Moss;SN17150;08.09.2024;19,1
Moss;SN17150;09.09.2024;17
Moss;SN17150;10.09.2024;14
Moss;SN17150;11.09.2024;12,5
Moss;SN17150;12.09.2024;11,9
Moss;SN17150;13.09.2024;9,4
Moss;SN17150;14.09.2024;9,4
Moss;SN17150;15.09.2024;11,5
Moss;SN17150;16.09.2024;13,5
Moss;SN17150;17.09.2024;12,4
Moss;SN17150;18.09.2024;13,6
Moss;SN17150;19.09.2024;13,1
Moss;SN17150;20.09.2024;12,9
Moss;SN17150;21.09.2024;12,8
Moss;SN17150;22.09.2024;13,4
Moss;SN17150;23.09.2024;13,7
Moss;SN17150;24.09.2024;14,1
Moss;SN17150;25.09.2024;13,4
Moss;SN17150;26.09.2024;9,1
Moss;SN17150;27.09.2024;8,1
Moss;SN17150;28.09.2024;8,3
Moss;SN17150;29.09.2024;8,2
Moss;SN17150;30.09.2024;9
Moss;SN17150;01.10.2024;8,6
Moss;SN17150;02.10.2024;9
Moss;SN17150;03.10.2024;8,5
Moss;SN17150;04.10.2024;7,4
Moss;SN17150;05.10.2024;9,7
Moss;SN17150;06.10.2024;11,5
Moss;SN17150;07.10.2024;9,1
Moss;SN17150;08.10.2024;10,7
Moss;SN17150;09.10.2024;12,3
Moss;SN17150;10.10.2024;9,9
Moss;SN17150;11.10.2024;7
Moss;SN17150;12.10.2024;6,2
Moss;SN17150;13.10.2024;7,8
Moss;SN17150;14.10.2024;4,9
Moss;SN17150;15.10.2024;6,5
Moss;SN17150;16.10.2024;7,6
Moss;SN17150;17.10.2024;9,1
Moss;SN17150;18.10.2024;10,2
Moss;SN17150;19.10.2024;11,8
Moss;SN17150;20.10.2024;12,1
Moss;SN17150;21.10.2024;12,4
Moss;SN17150;22.10.2024;11
Moss;SN17150;23.10.2024;10,1
Moss;SN17150;24.10.2024;11,4
Moss;SN17150;25.10.2024;9,9
Moss;SN17150;26.10.2024;9,1
Moss;SN17150;27.10.2024;10,3
Moss;SN17150;28.10.2024;7,7
Moss;SN17150;29.10.2024;6,3
Moss;SN17150;30.10.2024;8,9
Moss;SN17150;31.10.2024;11,6
Moss;SN17150;01.11.2024;9,8
Moss;SN17150;02.11.2024;4,3
Moss;SN17150;03.11.2024;10,4
Moss;SN17150;04.11.2024;6,8
Moss;SN17150;05.11.2024;6,4
Moss;SN17150;06.11.2024;5
Moss;SN17150;07.11.2024;2,7
Moss;SN17150;08.11.2024;7
Moss;SN17150;09.11.2024;6,4
Moss;SN17150;10.11.2024;3,6
Moss;SN17150;11.11.2024;3,7
Moss;SN17150;12.11.2024;2
Moss;SN17150;13.11.2024;4,4
Moss;SN17150;14.11.2024;1,8
Moss;SN17150;15.11.2024;6,7
Moss;SN17150;16.11.2024;7,1
Moss;SN17150;17.11.2024;4,9
Moss;SN17150;18.11.2024;-0,5
Moss;SN17150;19.11.2024;-1,3
Moss;SN17150;20.11.2024;-1,3
Moss;SN17150;21.11.2024;-3
Moss;SN17150;22.11.2024;-3,3
Moss;SN17150;23.11.2024;-1,2
Moss;SN17150;24.11.2024;3,7
Moss;SN17150;25.11.2024;9
Moss;SN17150;26.11.2024;7,6
Moss;SN17150;27.11.2024;2,8
Moss;SN17150;28.11.2024;-1,2
Moss;SN17150;29.11.2024;2,6
Moss;SN17150;30.11.2024;7,9
Moss;SN17150;01.12.2024;8,6
Moss;SN17150;02.12.2024;6,7
Moss;SN17150;03.12.2024;-1,5
Moss;SN17150;04.12.2024;-5,2
Moss;SN17150;05.12.2024;-0,1
Moss;SN17150;06.12.2024;1,3
Moss;SN17150;07.12.2024;1,8
Moss;SN17150;08.12.2024;0,7
Moss;SN17150;09.12.2024;-1,5
Moss;SN17150;10.12.2024;-5,3
Moss;SN17150;11.12.2024;-5,2
Moss;SN17150;12.12.2024;-4,8
Moss;SN17150;13.12.2024;1,5
Moss;SN17150;14.12.2024;3,6
Moss;SN17150;15.12.2024;2,9
Moss;SN17150;16.12.2024;5,6
Moss;SN17150;17.12.2024;3,5
Moss;SN17150;18.12.2024;6,2
Moss;SN17150;19.12.2024;4,7
Moss;SN17150;20.12.2024;2,4
Moss;SN17150;21.12.2024;2,7
Moss;SN17150;22.12.2024;3,7
Moss;SN17150;23.12.2024;1
Moss;SN17150;24.12.2024;2,4
Moss;SN17150;25.12.2024;6,3
Moss;SN17150;26.12.2024;6,3
Moss;SN17150;27.12.2024;4
Moss;SN17150;28.12.2024;4,8
Moss;SN17150;29.12.2024;6,6
Moss;SN17150;30.12.2024;1,9
Moss;SN17150;31.12.2024;-1
Moss;SN17150;01.01.2025;-4,7
Moss;SN17150;02.01.2025;-5,1
Moss;SN17150;03.01.2025;-5,9
Moss;SN17150;04.01.2025;-12,6
Moss;SN17150;05.01.2025;-12,1
Moss;SN17150;06.01.2025;-3,3
Moss;SN17150;07.01.2025;1,1
Moss;SN17150;08.01.2025;-2,8
Moss;SN17150;09.01.2025;-2,5
Moss;SN17150;10.01.2025;-3,3
Moss;SN17150;11.01.2025;-2,8
