Category: All categories

Country,Python: (11/23/20 - 11/23/25)
China,100
Eritrea,
South Korea,22
Singapore,18
Svalbard & Jan Mayen,
Israel,16
Bhutan,
Hong Kong,13
St. Helena,
Armenia,
Tunisia,11
North Korea,
India,11
Macao,
Madagascar,
Russia,10
Taiwan,10
Switzerland,10
Luxembourg,
Iceland,
Ethiopia,
Canada,8
Norway,8
Sri Lanka,8
Estonia,
Nepal,7
Kyrgyzstan,
Liechtenstein,
Netherlands,7
Sweden,7
Kazakhstan,7
Denmark,7
Uzbekistan,7
Pakistan,7
Rwanda,
Finland,6
United States,6
Germany,6
Portugal,6
Ireland,6
Zimbabwe,
United Kingdom,6
Belarus,6
Georgia,
Cyprus,
Morocco,6
Ukraine,6
Kenya,6
France,6
Czechia,6
Australia,6
Togo,
Austria,5
Latvia,
United Arab Emirates,5
Slovenia,
Lebanon,
New Zealand,5
Djibouti,
Azerbaijan,
Belgium,5
Benin,
Japan,5
Poland,5
Serbia,5
Cameroon,
Mongolia,
Lithuania,
Hungary,5
Malta,
Slovakia,5
Palestine,
Bulgaria,4
Costa Rica,
Andorra,
Vietnam,4
Moldova,
Burundi,
Bangladesh,4
Myanmar (Burma),
Lesotho,
Croatia,4
Ghana,
Romania,4
Egypt,4
North Macedonia,
Nigeria,4
Mauritius,
Somalia,
Senegal,
Faroe Islands,
Colombia,4
Chile,4
New Caledonia,
Montserrat,
Spain,4
Cape Verde,
Western Sahara,
Qatar,
Kosovo,
Oman,
Jordan,
Cuba,
Åland Islands,
Malawi,
Iran,3
Greece,3
Gibraltar,
Montenegro,
French Guiana,
French Polynesia,
Albania,
South Africa,3
Malaysia,3
Mayotte,
Yemen,
Bahrain,
Botswana,
Mauritania,
Maldives,
Côte d’Ivoire,
Cambodia,
Algeria,3
Thailand,3
Brazil,3
Ecuador,3
Cayman Islands,
Uruguay,
Laos,
Peru,3
San Marino,
Guernsey,
São Tomé & Príncipe,
Bermuda,
Uganda,
Réunion,
Tajikistan,
Philippines,3
Argentina,3
Italy,3
Burkina Faso,
Eswatini,
Saudi Arabia,3
Bolivia,
Congo - Brazzaville,
Tonga,
Sudan,
Turkmenistan,
Afghanistan,
Jamaica,
Gambia,
Kiribati,
Bosnia & Herzegovina,
Guadeloupe,
Niger,
Isle of Man,
Vanuatu,
St. Pierre & Miquelon,
Brunei,
Sierra Leone,
Belize,
St. Barthélemy,
Mexico,2
Barbados,
St. Kitts & Nevis,
Panama,
Namibia,
Jersey,
Angola,
Trinidad & Tobago,
Türkiye,2
Syria,
Dominica,
Kuwait,
Zambia,
Gabon,
Guatemala,
Congo - Kinshasa,
Comoros,
Equatorial Guinea,
Curaçao,
Iraq,
Antigua & Barbuda,
Falkland Islands (Islas Malvinas),
Tanzania,
Chad,
Martinique,
El Salvador,
Paraguay,
Grenada,
Seychelles,
Indonesia,2
Papua New Guinea,
Venezuela,2
South Sudan,
Guinea,
St. Martin,
Greenland,
Liberia,
Puerto Rico,
Guyana,
Dominican Republic,
Marshall Islands,
Mozambique,
Palau,
St. Lucia,
Anguilla,
Libya,
Bahamas,
Central African Republic,
Mali,
U.S. Virgin Islands,
Nicaragua,
Fiji,
Sint Maarten,
Timor-Leste,
Guam,
Aruba,
Honduras,
Caribbean Netherlands,
St. Vincent & Grenadines,
Turks & Caicos Islands,
Northern Mariana Islands,
Haiti,
Suriname,
Solomon Islands,
Cook Islands,
British Virgin Islands,
American Samoa,
Micronesia,
Guinea-Bissau,
Samoa,
Tuvalu,
Heard & McDonald Islands,
South Georgia & South Sandwich Islands,
British Indian Ocean Territory,
U.S. Outlying Islands,
Nauru,
French Southern Territories,
Vatican City,
Tokelau,
Niue,
Bouvet Island,
Antarctica,
Cocos (Keeling) Islands,
Wallis & Futuna,
Norfolk Island,
Monaco,
Christmas Island,
Pitcairn Islands,
