Category: All categories

Week,Python: (Worldwide),Java: (Worldwide),TypeScript: (Worldwide),Interest rate: (Worldwide),Regulation: (Worldwide)
2020-11-22,49,40,3,19,19
2020-11-29,51,43,3,20,21
2020-12-06,53,39,3,20,20
2020-12-13,51,40,3,19,19
2020-12-20,43,32,2,17,13
2020-12-27,36,27,2,19,14
2021-01-03,45,36,2,21,17
2021-01-10,48,38,2,20,20
2021-01-17,50,42,3,20,20
2021-01-24,51,40,3,20,21
2021-01-31,53,41,3,21,21
2021-02-07,51,39,3,20,20
2021-02-14,50,42,3,21,19
2021-02-21,52,44,3,23,21
2021-02-28,54,43,3,24,21
2021-03-07,55,40,3,24,19
2021-03-14,56,44,3,25,20
2021-03-21,54,43,3,28,20
2021-03-28,54,40,3,31,19
2021-04-04,53,42,3,29,19
2021-04-11,54,40,3,28,20
2021-04-18,58,44,3,26,21
2021-04-25,54,40,3,25,19
2021-05-02,53,41,3,25,19
2021-05-09,52,41,3,26,20
2021-05-16,56,41,3,24,21
2021-05-23,54,40,3,24,20
2021-05-30,53,41,3,25,20
2021-06-06,54,42,3,24,22
2021-06-13,54,42,3,26,21
2021-06-20,53,41,3,23,20
2021-06-27,51,40,3,19,19
2021-07-04,48,38,3,22,18
2021-07-11,52,41,3,20,19
2021-07-18,51,40,3,23,19
2021-07-25,50,37,3,25,19
2021-08-01,50,38,3,24,17
2021-08-08,49,37,3,20,18
2021-08-15,49,38,3,16,17
2021-08-22,49,37,3,21,18
2021-08-29,51,39,3,21,15
2021-09-05,56,39,3,21,14
2021-09-12,60,42,4,21,17
2021-09-19,59,42,3,19,22
2021-09-26,63,44,4,19,22
2021-10-03,61,47,4,20,22
2021-10-10,62,41,4,20,22
2021-10-17,63,46,4,23,23
2021-10-24,64,45,4,23,22
2021-10-31,61,39,3,25,20
2021-11-07,67,44,4,24,21
2021-11-14,65,46,4,28,21
2021-11-21,60,43,4,21,19
2021-11-28,63,44,4,23,20
2021-12-05,66,47,4,23,20
2021-12-12,63,48,4,22,20
2021-12-19,54,40,3,17,14
2021-12-26,46,33,3,15,12
2022-01-02,68,49,5,24,17
2022-01-09,76,51,5,30,19
2022-01-16,72,50,5,21,19
2022-01-23,80,52,6,23,21
2022-01-30,79,52,6,21,22
2022-02-06,83,56,6,24,25
2022-02-13,96,61,7,23,27
2022-02-20,87,61,6,22,26
2022-02-27,88,59,6,25,26
2022-03-06,93,61,6,24,26
2022-03-13,89,59,6,27,25
2022-03-20,95,59,6,25,22
2022-03-27,100,61,7,25,21
2022-04-03,93,57,7,26,16
2022-04-10,89,57,7,25,13
2022-04-17,91,63,7,25,15
2022-04-24,93,60,7,24,15
2022-05-01,88,55,6,36,13
2022-05-08,89,59,7,25,13
2022-05-15,86,59,6,25,12
2022-05-22,78,55,6,22,12
2022-05-29,78,51,6,22,12
2022-06-05,80,52,6,25,13
2022-06-12,83,52,6,38,13
2022-06-19,86,54,7,26,13
2022-06-26,77,50,7,23,12
2022-07-03,79,54,7,26,11
2022-07-10,80,51,7,27,12
2022-07-17,80,55,7,24,11
2022-07-24,80,53,7,31,11
2022-07-31,76,52,7,27,11
2022-08-07,78,50,7,23,11
2022-08-14,73,50,7,21,11
2022-08-21,80,54,7,24,12
2022-08-28,79,50,6,23,12
2022-09-04,77,53,7,25,13
2022-09-11,88,58,7,25,13
2022-09-18,92,63,7,33,14
2022-09-25,87,58,7,30,13
2022-10-02,87,55,6,31,14
2022-10-09,94,58,7,29,14
2022-10-16,95,59,7,28,14
2022-10-23,90,53,7,30,13
2022-10-30,89,55,7,38,14
2022-11-06,91,55,7,28,13
2022-11-13,95,58,7,28,14
2022-11-20,88,56,6,24,12
2022-11-27,89,56,7,26,13
2022-12-04,90,57,7,27,13
2022-12-11,93,52,7,32,13
2022-12-18,75,46,6,24,10
2022-12-25,65,43,5,25,8
2023-01-01,75,46,6,30,10
2023-01-08,84,47,7,27,12
2023-01-15,84,52,7,27,12
2023-01-22,86,51,7,27,13
2023-01-29,96,54,8,34,14
2023-02-05,96,55,8,30,13
2023-02-12,93,54,7,29,13
2023-02-19,88,53,7,29,13
2023-02-26,90,54,7,29,14
2023-03-05,86,52,7,30,15
2023-03-12,87,53,7,31,15
2023-03-19,93,54,7,33,15
2023-03-26,87,51,7,29,15
2023-04-02,78,49,7,29,14
2023-04-09,82,50,6,27,15
2023-04-16,78,48,6,25,16
2023-04-23,81,50,7,25,16
2023-04-30,75,45,6,30,16
2023-05-07,75,47,7,26,16
2023-05-14,75,46,7,24,18
2023-05-21,80,49,7,24,18
2023-05-28,74,48,6,25,15
2023-06-04,74,47,7,28,16
2023-06-11,73,49,7,27,15
2023-06-18,72,46,6,27,14
2023-06-25,68,44,7,25,13
2023-07-02,71,44,7,27,13
2023-07-09,80,46,7,28,14
2023-07-16,78,46,7,25,14
2023-07-23,78,46,7,29,13
2023-07-30,68,46,7,28,13
2023-08-06,72,45,7,24,13
2023-08-13,71,42,6,25,13
2023-08-20,75,45,7,25,14
2023-08-27,75,45,7,24,15
2023-09-03,78,46,6,26,15
2023-09-10,81,48,7,26,16
2023-09-17,80,49,7,30,17
2023-09-24,80,48,6,25,16
2023-10-01,80,47,6,28,16
2023-10-08,79,49,6,25,16
2023-10-15,80,49,6,26,16
2023-10-22,80,43,6,28,16
2023-10-29,79,46,6,28,16
2023-11-05,76,45,6,28,16
2023-11-12,83,44,6,26,16
2023-11-19,78,44,6,25,15
2023-11-26,81,44,6,27,17
2023-12-03,78,46,6,29,16
2023-12-10,77,44,6,29,15
2023-12-17,73,41,6,25,12
2023-12-24,57,32,4,25,9
2023-12-31,56,37,5,28,11
2024-01-07,72,44,6,26,15
2024-01-14,74,46,6,26,15
2024-01-21,80,48,6,26,16
2024-01-28,87,51,7,29,17
2024-02-04,86,52,6,25,17
2024-02-11,88,57,7,26,17
2024-02-18,87,52,6,26,17
2024-02-25,82,52,7,26,18
2024-03-03,84,51,7,29,18
2024-03-10,89,52,7,25,17
2024-03-17,86,50,7,30,18
2024-03-24,80,47,6,27,16
2024-03-31,77,49,6,28,16
2024-04-07,76,46,6,28,16
2024-04-14,82,50,7,26,18
2024-04-21,80,49,6,25,18
2024-04-28,78,43,6,28,17
2024-05-05,76,47,6,26,16
2024-05-12,76,47,7,26,17
2024-05-19,77,47,6,24,17
2024-05-26,77,46,6,24,15
2024-06-02,74,45,6,26,16
2024-06-09,71,45,6,24,14
2024-06-16,69,46,6,22,14
2024-06-23,68,43,6,21,14
2024-06-30,65,44,6,22,13
2024-07-07,70,45,6,23,14
2024-07-14,71,46,6,25,14
2024-07-21,70,45,6,26,14
2024-07-28,66,43,6,28,14
2024-08-04,65,43,6,28,14
2024-08-11,63,42,6,25,14
2024-08-18,67,44,6,25,15
2024-08-25,71,44,6,25,15
2024-09-01,72,42,6,27,16
2024-09-08,74,45,6,25,17
2024-09-15,71,45,5,41,17
2024-09-22,76,44,6,28,17
2024-09-29,74,42,5,25,17
2024-10-06,75,43,6,24,16
2024-10-13,74,44,5,26,16
2024-10-20,76,44,6,26,17
2024-10-27,68,38,5,24,15
2024-11-03,70,42,5,30,16
2024-11-10,76,43,5,26,16
2024-11-17,76,42,5,25,18
2024-11-24,70,41,5,22,15
2024-12-01,77,42,5,24,19
2024-12-08,72,41,5,27,17
2024-12-15,66,37,5,26,15
2024-12-22,52,32,4,21,10
2024-12-29,49,31,3,23,11
2025-01-05,62,39,5,26,15
2025-01-12,66,40,5,26,16
2025-01-19,73,40,5,27,16
2025-01-26,72,45,5,28,15
2025-02-02,74,41,5,29,17
2025-02-09,74,43,5,27,17
2025-02-16,74,43,5,29,17
2025-02-23,73,40,5,25,18
2025-03-02,74,46,5,29,18
2025-03-09,70,40,6,28,18
2025-03-16,72,42,6,27,18
2025-03-23,67,42,5,25,17
2025-03-30,65,40,5,29,16
2025-04-06,66,43,5,30,17
2025-04-13,63,38,4,27,17
2025-04-20,62,40,4,26,17
2025-04-27,57,36,4,24,16
2025-05-04,63,36,5,28,17
2025-05-11,61,37,5,24,17
2025-05-18,62,37,4,25,17
2025-05-25,57,36,4,23,15
2025-06-01,60,35,5,27,18
