Category: All categories

Week,Volatility: (Worldwide),National Hockey League: (Worldwide),Ice skate: (Worldwide),Ice hockey: (Worldwide)
2020-11-22,1,5,3,15
2020-11-29,1,5,3,15
2020-12-06,1,6,4,15
2020-12-13,1,5,5,15
2020-12-20,1,8,5,19
2020-12-27,1,8,6,31
2021-01-03,1,10,6,31
2021-01-10,1,31,6,24
2021-01-17,1,38,5,21
2021-01-24,2,34,4,21
2021-01-31,2,38,6,21
2021-02-07,2,33,11,21
2021-02-14,2,34,7,20
2021-02-21,2,37,3,20
2021-02-28,1,33,2,21
2021-03-07,1,34,2,19
2021-03-14,1,35,2,22
2021-03-21,1,32,2,22
2021-03-28,1,34,2,23
2021-04-04,1,33,2,20
2021-04-11,1,37,1,18
2021-04-18,1,34,2,18
2021-04-25,1,33,1,18
2021-05-02,1,37,1,19
2021-05-09,1,37,1,16
2021-05-16,1,47,1,37
2021-05-23,1,49,1,74
2021-05-30,1,48,1,87
2021-06-06,1,38,1,29
2021-06-13,1,34,1,16
2021-06-20,1,44,1,20
2021-06-27,1,28,1,17
2021-07-04,1,27,1,18
2021-07-11,1,9,1,9
2021-07-18,1,25,1,12
2021-07-25,1,14,1,14
2021-08-01,1,6,1,22
2021-08-08,1,5,1,11
2021-08-15,1,6,1,11
2021-08-22,1,5,1,15
2021-08-29,1,6,1,16
2021-09-05,1,5,1,15
2021-09-12,1,6,2,17
2021-09-19,1,6,2,17
2021-09-26,1,13,2,19
2021-10-03,1,17,2,22
2021-10-10,1,30,2,26
2021-10-17,1,34,2,25
2021-10-24,1,37,2,25
2021-10-31,1,35,3,27
2021-11-07,1,33,3,27
2021-11-14,1,34,4,27
2021-11-21,1,32,5,26
2021-11-28,1,34,6,27
2021-12-05,1,36,7,27
2021-12-12,1,41,7,27
2021-12-19,1,21,7,21
2021-12-26,1,24,10,27
2022-01-02,1,25,9,24
2022-01-09,1,29,8,25
2022-01-16,1,29,6,23
2022-01-23,2,29,6,25
2022-01-30,2,29,6,36
2022-02-06,2,23,7,67
2022-02-13,2,29,6,82
2022-02-20,2,28,4,39
2022-02-27,2,29,3,27
2022-03-06,2,29,3,27
2022-03-13,2,31,3,25
2022-03-20,1,32,3,28
2022-03-27,2,32,2,24
2022-04-03,1,31,2,25
2022-04-10,1,33,2,23
2022-04-17,1,35,2,22
2022-04-24,1,36,2,21
2022-05-01,1,44,1,23
2022-05-08,2,57,1,34
2022-05-15,1,51,1,48
2022-05-22,1,45,1,52
2022-05-29,1,34,1,26
2022-06-05,1,31,2,15
2022-06-12,1,24,2,14
2022-06-19,1,33,2,16
2022-06-26,1,17,1,11
2022-07-03,1,17,2,9
2022-07-10,1,13,2,9
2022-07-17,1,7,2,9
2022-07-24,1,5,2,9
2022-07-31,1,5,2,10
2022-08-07,1,5,2,11
2022-08-14,1,5,2,12
2022-08-21,1,5,2,11
2022-08-28,1,5,2,12
2022-09-04,1,5,2,13
2022-09-11,1,5,2,13
2022-09-18,1,6,2,14
2022-09-25,1,12,2,18
2022-10-02,1,17,2,21
2022-10-09,1,27,2,23
2022-10-16,1,31,2,23
2022-10-23,1,33,2,23
2022-10-30,1,31,3,23
2022-11-06,1,30,3,21
2022-11-13,1,30,4,25
2022-11-20,1,29,5,23
2022-11-27,1,29,6,21
2022-12-04,1,31,6,22
2022-12-11,1,31,8,22
2022-12-18,1,31,7,21
2022-12-25,1,26,9,28
2023-01-01,1,32,8,34
2023-01-08,1,31,6,23
2023-01-15,1,33,6,26
2023-01-22,1,32,5,28
2023-01-29,1,26,5,23
2023-02-05,1,23,4,21
2023-02-12,1,28,4,23
2023-02-19,1,34,3,24
2023-02-26,2,42,3,25
2023-03-05,1,34,3,31
2023-03-12,1,36,2,32
2023-03-19,1,36,2,35
2023-03-26,1,37,2,30
2023-04-02,1,39,2,31
2023-04-09,1,49,2,31
2023-04-16,1,59,1,32
2023-04-23,1,68,2,34
2023-04-30,1,77,2,32
2023-05-07,1,67,1,38
2023-05-14,1,43,1,54
2023-05-21,1,37,1,59
2023-05-28,1,25,1,36
2023-06-04,1,32,1,17
2023-06-11,1,25,1,16
2023-06-18,1,8,1,11
2023-06-25,1,23,1,14
2023-07-02,1,9,1,11
2023-07-09,1,6,1,12
2023-07-16,1,5,1,11
2023-07-23,1,5,1,12
2023-07-30,1,4,1,13
2023-08-06,1,5,1,15
2023-08-13,1,5,1,14
2023-08-20,1,4,1,15
2023-08-27,1,4,2,16
2023-09-03,1,5,2,18
2023-09-10,1,5,2,20
2023-09-17,1,7,2,23
2023-09-24,1,13,2,25
2023-10-01,1,15,2,27
2023-10-08,1,32,2,32
2023-10-15,1,32,2,32
2023-10-22,1,36,2,32
2023-10-29,1,36,3,57
2023-11-05,1,38,3,37
2023-11-12,1,37,4,39
2023-11-19,1,33,5,35
2023-11-26,1,32,6,36
2023-12-03,1,33,7,34
2023-12-10,1,36,7,32
2023-12-17,1,35,6,29
2023-12-24,1,30,9,37
2023-12-31,1,39,8,46
2024-01-07,1,34,8,35
2024-01-14,1,36,7,35
2024-01-21,1,39,6,36
2024-01-28,1,33,4,33
2024-02-04,1,27,4,32
2024-02-11,1,32,3,34
2024-02-18,2,39,3,37
2024-02-25,1,35,2,33
2024-03-03,1,40,2,37
2024-03-10,1,33,2,32
2024-03-17,1,36,2,36
2024-03-24,1,37,2,37
2024-03-31,1,40,2,32
2024-04-07,1,43,2,32
2024-04-14,1,57,2,31
2024-04-21,1,68,2,33
2024-04-28,1,71,2,31
2024-05-05,1,68,1,46
2024-05-12,1,66,1,67
2024-05-19,1,47,1,72
2024-05-26,1,48,1,42
2024-06-02,1,30,1,18
2024-06-09,1,36,1,20
2024-06-16,1,45,1,21
2024-06-23,1,42,1,20
2024-06-30,1,14,1,13
2024-07-07,1,6,1,12
2024-07-14,1,5,1,13
2024-07-21,1,5,1,15
2024-07-28,1,4,1,25
2024-08-04,2,4,1,40
2024-08-11,1,4,2,16
2024-08-18,1,5,1,16
2024-08-25,1,6,2,20
2024-09-01,1,6,2,19
2024-09-08,1,8,2,20
2024-09-15,1,7,2,21
2024-09-22,1,14,2,26
2024-09-29,1,20,2,29
2024-10-06,1,30,2,33
2024-10-13,1,34,2,34
2024-10-20,1,32,3,31
2024-10-27,1,33,3,31
2024-11-03,1,30,3,30
2024-11-10,2,32,4,32
2024-11-17,1,30,5,32
2024-11-24,1,30,6,32
2024-12-01,1,32,6,34
2024-12-08,1,30,7,32
2024-12-15,1,33,7,32
2024-12-22,1,31,10,35
2024-12-29,1,35,11,47
2025-01-05,1,34,9,40
2025-01-12,1,33,8,36
2025-01-19,1,34,6,35
2025-01-26,1,33,5,36
2025-02-02,1,35,5,34
2025-02-09,1,21,5,41
2025-02-16,1,26,5,100
2025-02-23,1,33,3,38
2025-03-02,2,42,3,38
2025-03-09,2,34,3,33
2025-03-16,1,37,2,36
2025-03-23,1,36,2,42
2025-03-30,2,44,2,35
2025-04-06,2,50,2,36
2025-04-13,2,55,2,33
2025-04-20,1,70,2,36
2025-04-27,1,70,2,36
2025-05-04,1,67,2,43
2025-05-11,1,67,2,58
2025-05-18,1,51,1,62
2025-05-25,1,46,1,32
2025-06-01,1,36,1,22
2025-06-08,2,39,1,24
2025-06-15,2,33,1,21
2025-06-22,2,21,1,16
2025-06-29,2,15,1,14
2025-07-06,1,7,1,15
2025-07-13,2,7,2,15
2025-07-20,2,6,1,17
2025-07-27,3,5,2,15
2025-08-03,6,6,2,16
2025-08-10,9,6,2,18
2025-08-17,7,6,2,19
2025-08-24,5,6,2,20
2025-08-31,5,6,2,21
2025-09-07,5,7,2,23
2025-09-14,5,8,2,24
2025-09-21,5,14,2,28
2025-09-28,5,18,2,31
2025-10-05,4,32,3,36
2025-10-12,5,37,3,36
2025-10-19,4,36,3,35
2025-10-26,4,33,3,36
2025-11-02,4,32,4,39
2025-11-09,2,32,4,39
2025-11-16,2,32,5,37
2025-11-23,1,48,7,44
